,Title,Rate,Year,Length
114,To Kill a Mockingbird,8.3 (333K),1962,2h 9m
115,The Sting,8.3 (279K),1973,2h 9m
116,A Separation,8.3 (258K),2011,2h 3m
117,Indiana Jones and the Last Crusade,8.2 (810K),1989,2h 7m
118,Die Hard,8.2 (944K),1988,2h 12m
119,Metropolis,8.3 (185K),1927,2h 33m
120,Like Stars on Earth,8.3 (206K),2007,2h 42m
121,Snatch,8.2 (909K),2000,1h 42m
122,Hamilton,8.3 (113K),2020,2h 40m
123,L,8.2 (617K),1997,2h 18m
124,1917,8.2 (673K),2019,1h 59m
125,Bicycle Thieves,8.3 (175K),1948,1h 29m
126,Taxi Driver,8.2 (919K),1976,1h 54m
127,Downfall,8.2 (375K),2004,2h 36m
128,Dangal,8.3 (210K),2016,2h 41m
129,For a Few Dollars More,8.2 (274K),1965,2h 12m
130,Batman Begins,8.2 (1.6M),2005,2h 20m
131,The Wolf of Wall Street,8.2 (1.6M),2013,3h
132,Some Like It Hot,8.2 (283K),1959,2h 1m
133,Green Book,8.2 (569K),2018,2h 10m
134,The Kid,8.2 (135K),1921,1h 8m
135,The Father,8.2 (192K),2020,1h 37m
136,Judgment at Nuremberg,8.3 (85K),1961,2h 59m
137,All About Eve,8.2 (139K),1950,2h 18m
138,The Truman Show,8.2 (1.2M),1998,1h 43m
139,Top Gun: Maverick,8.2 (693K),2022,2h 10m
140,Shutter Island,8.2 (1.5M),2010,2h 18m
141,There Will Be Blood,8.2 (640K),2007,2h 38m
142,Casino,8.2 (563K),1995,2h 58m
143,Ran,8.2 (136K),1985,2h 40m
144,Jurassic Park,8.2 (1.1M),1993,2h 7m
145,The Sixth Sense,8.2 (1M),1999,1h 47m
146,Pan's Labyrinth,8.2 (702K),2006,1h 58m
147,Unforgiven,8.2 (436K),1992,2h 10m
148,No Country for Old Men,8.2 (1.1M),2007,2h 2m
149,A Beautiful Mind,8.2 (986K),2001,2h 15m
150,The Thing,8.2 (466K),1982,1h 49m
151,The Treasure of the Sierra Madre,8.2 (132K),1948,2h 6m
152,Kill Bill: Vol,8.2 (1.2M),2003,1h 51m
153,Yojimbo,8.2 (131K),1961,1h 50m
154,Monty Python and the Holy Grail,8.2 (570K),1975,1h 31m
155,The Great Escape,8.2 (259K),1963,2h 52m
156,Finding Nemo,8.2 (1.1M),2003,1h 40m
157,Rashomon,8.2 (180K),1950,1h 28m
158,Prisoners,8.2 (808K),2013,2h 33m
159,Howl's Moving Castle,8.2 (448K),2004,1h 59m
160,The Elephant Man,8.2 (258K),1980,2h 4m
161,Chinatown,8.1 (349K),1974,2h 10m
162,Dial M for Murder,8.2 (189K),1954,1h 45m
163,Gone with the Wind,8.2 (334K),1939,3h 58m
164,V for Vendetta,8.2 (1.2M),2005,2h 12m
165,"Lock, Stock and Two Smoking Barrels",8.1 (616K),1998,1h 47m
166,The Secret in Their Eyes,8.2 (222K),2009,2h 9m
167,Inside Out,8.1 (784K),2015,1h 35m
168,Raging Bull,8.1 (380K),1980,2h 9m
169,"Three Billboards Outside Ebbing, Missouri",8.1 (554K),2017,1h 55m
170,Trainspotting,8.1 (725K),1996,1h 33m
171,The Bridge on the River Kwai,8.1 (233K),1957,2h 41m
172,Spider-Man: No Way Home,8.2 (876K),2021,2h 28m
173,Fargo,8.1 (726K),1996,1h 38m
174,Klaus,8.2 (189K),2019,1h 36m
175,Catch Me If You Can,8.1 (1.1M),2002,2h 21m
176,Warrior,8.1 (497K),2011,2h 20m
177,Godzilla Minus One,8.3 (48K),2023,2h 4m
178,Gran Torino,8.1 (814K),2008,1h 56m
179,My Neighbor Totoro,8.1 (379K),1988,1h 26m
180,Million Dollar Baby,8.1 (721K),2004,2h 12m
181,Harry Potter and the Deathly Hallows: Part 2,8.1 (947K),2011,2h 10m
182,Children of Heaven,8.2 (81K),1997,1h 29m
183,12 Years a Slave,8.1 (740K),2013,2h 14m
184,Blade Runner,8.1 (822K),1982,1h 57m
185,Before Sunrise,8.1 (339K),1995,1h 41m
186,Ben-Hur,8.1 (253K),1959,3h 32m
187,The Grand Budapest Hotel,8.1 (885K),2014,1h 39m
188,Barry Lyndon,8.1 (183K),1975,3h 5m
189,Gone Girl,8.1 (1.1M),2014,2h 29m
190,Hacksaw Ridge,8.1 (593K),2016,2h 19m
191,The Gold Rush,8.1 (118K),1925,1h 35m
192,In the Name of the Father,8.1 (187K),1993,2h 13m
193,Memories of Murder,8.1 (216K),2003,2h 12m
194,Dead Poets Society,8.1 (545K),1989,2h 8m
195,On the Waterfront,8.1 (165K),1954,1h 48m
196,Wild Tales,8.1 (216K),2014,2h 2m
197,The General,8.1 (98K),1926,1h 18m
198,The Deer Hunter,8.1 (362K),1978,3h 3m
199,Mad Max: Fury Road,8.1 (1.1M),2015,2h
200,"Monsters, Inc",8.1 (977K),2001,1h 32m
201,Sherlock Jr,8.2 (57K),1924,45m
202,The Third Man,8.1 (182K),1949,1h 33m
203,The Wages of Fear,8.2 (66K),1953,2h 11m
204,Wild Strawberries,8.1 (115K),1957,1h 31m
205,Jaws,8.1 (658K),1975,2h 4m
206,How to Train Your Dragon,8.1 (799K),2010,1h 38m
207,Mary and Max,8.1 (187K),2009,1h 32m
208,Mr,8.1 (121K),1939,2h 9m
209,Ratatouille,8.1 (823K),2007,1h 51m
210,Ford v Ferrari,8.1 (472K),2019,2h 32m
211,Tokyo Story,8.1 (68K),1953,2h 16m
212,The Big Lebowski,8.1 (859K),1998,1h 57m
213,The Seventh Seal,8.1 (198K),1957,1h 36m
214,Room,8.1 (450K),2015,1h 58m
215,Rocky,8.1 (627K),1976,2h
216,Logan,8.1 (830K),2017,2h 17m
217,Spotlight,8.1 (502K),2015,2h 9m
218,Hotel Rwanda,8.1 (372K),2004,2h 1m
219,Platoon,8.1 (439K),1986,2h
220,The Terminator,8.1 (923K),1984,1h 47m
221,The Passion of Joan of Arc,8.1 (61K),1928,1h 54m
222,Before Sunset,8.1 (287K),2004,1h 20m
223,La haine,8.1 (196K),1995,1h 38m
224,The Best Years of Our Lives,8.1 (70K),1946,2h 50m
225,Pirates of the Caribbean: The Curse of the Black Pearl,8.1 (1.2M),2003,2h 23m
226,The Exorcist,8.1 (454K),1973,2h 2m
227,Rush,8.1 (513K),2013,2h 3m
228,Jai Bhim,8.7 (217K),2021,2h 44m
229,Network,8.1 (170K),1976,2h 1m
230,Stand by Me,8.1 (441K),1986,1h 29m
231,The Wizard of Oz,8.1 (428K),1939,1h 42m
232,The Incredibles,8.0 (807K),2004,1h 55m
233,Hachi: A Dog's Tale,8.1 (311K),2009,1h 33m
234,The Handmaiden,8.1 (172K),2016,2h 25m
235,Into the Wild,8.1 (657K),2007,2h 28m
